date,state,fips,cases
2/24/20,Nebraska,31,12
2/24/20,Texas,48,10
2/24/20,Washington,53,5
2/24/20,Wisconsin,55,1
2/25/20,Arizona,4,1
2/25/20,California,6,11
2/25/20,Illinois,17,2
2/25/20,Massachusetts,25,1
2/25/20,Nebraska,31,13
2/25/20,Texas,48,10
2/25/20,Utah,49,1
2/25/20,Washington,53,5
2/25/20,Wisconsin,55,1
2/26/20,Arizona,4,1
2/26/20,California,6,26
2/26/20,Illinois,17,2
2/26/20,Massachusetts,25,1
2/26/20,Nebraska,31,13
2/26/20,Texas,48,10
2/26/20,Utah,49,1
2/26/20,Washington,53,5
2/26/20,Wisconsin,55,1
2/27/20,Arizona,4,1
2/27/20,California,6,26
2/27/20,Illinois,17,2
2/27/20,Massachusetts,25,1
2/27/20,Nebraska,31,13
2/27/20,Texas,48,10
2/27/20,Utah,49,1
2/27/20,Washington,53,5
2/27/20,Wisconsin,55,1
2/28/20,Arizona,4,1
2/28/20,California,6,27
2/28/20,Illinois,17,2
2/28/20,Massachusetts,25,1
2/28/20,Nebraska,31,13
2/28/20,Oregon,41,1
2/28/20,Texas,48,11
2/28/20,Utah,49,1
2/28/20,Washington,53,7
2/28/20,Wisconsin,55,1
2/29/20,Arizona,4,1
2/29/20,California,6,28
2/29/20,Illinois,17,3
2/29/20,Massachusetts,25,1
2/29/20,Nebraska,31,13
2/29/20,Oregon,41,1
2/29/20,Texas,48,11
2/29/20,Utah,49,1
2/29/20,Washington,53,10
2/29/20,Wisconsin,55,1
3/1/20,Arizona,4,1
3/1/20,California,6,33
3/1/20,Florida,12,2
3/1/20,Illinois,17,3
3/1/20,Massachusetts,25,1
3/1/20,Nebraska,31,13
3/1/20,New York,36,1
3/1/20,Oregon,41,2
3/1/20,Rhode Island,44,2
3/1/20,Texas,48,11
3/1/20,Utah,49,1
3/1/20,Washington,53,17
3/1/20,Wisconsin,55,1
3/2/20,Arizona,4,1
3/2/20,California,6,38
3/2/20,Florida,12,2
3/2/20,Georgia,13,2
3/2/20,Illinois,17,4
3/2/20,Massachusetts,25,2
3/2/20,Nebraska,31,13
3/2/20,New Hampshire,33,1
3/2/20,New York,36,1
3/2/20,Oregon,41,2
3/2/20,Rhode Island,44,2
3/2/20,Texas,48,11
3/2/20,Utah,49,1
3/2/20,Washington,53,23
3/2/20,Wisconsin,55,1
3/3/20,Arizona,4,2
3/3/20,California,6,45
3/3/20,Florida,12,3
3/3/20,Georgia,13,2
3/3/20,Illinois,17,4
3/3/20,Massachusetts,25,2
3/3/20,Nebraska,31,13
3/3/20,New Hampshire,33,2
3/3/20,New York,36,2
3/3/20,North Carolina,37,1
3/3/20,Oregon,41,2
3/3/20,Rhode Island,44,2
3/3/20,Texas,48,11
3/3/20,Utah,49,1
3/3/20,Washington,53,32
3/3/20,Wisconsin,55,1
3/4/20,Arizona,4,2
3/4/20,California,6,55
3/4/20,Florida,12,3
3/4/20,Georgia,13,2
3/4/20,Illinois,17,4
3/4/20,Massachusetts,25,2
3/4/20,Nebraska,31,13
3/4/20,New Hampshire,33,2
3/4/20,New Jersey,34,1
3/4/20,New York,36,11
3/4/20,North Carolina,37,1
3/4/20,Oregon,41,2
3/4/20,Rhode Island,44,2
3/4/20,Texas,48,12
3/4/20,Utah,49,1
3/4/20,Washington,53,47
3/4/20,Wisconsin,55,1
3/5/20,Arizona,4,2
3/5/20,California,6,67
3/5/20,Colorado,8,2
3/5/20,Florida,12,4
3/5/20,Georgia,13,2
3/5/20,Illinois,17,5
3/5/20,Maryland,24,3
3/5/20,Massachusetts,25,3
3/5/20,Nebraska,31,13
3/5/20,Nevada,32,2
3/5/20,New Hampshire,33,2
3/5/20,New Jersey,34,2
3/5/20,New York,36,22
3/5/20,North Carolina,37,1
3/5/20,Oregon,41,2
3/5/20,Rhode Island,44,2
3/5/20,Tennessee,47,1
3/5/20,Texas,48,16
3/5/20,Utah,49,1
3/5/20,Washington,53,75
3/5/20,Wisconsin,55,1
3/6/20,Arizona,4,3
3/6/20,California,6,81
3/6/20,Colorado,8,8
3/6/20,Florida,12,7
3/6/20,Georgia,13,3
3/6/20,Hawaii,15,1
3/6/20,Illinois,17,6
3/6/20,Indiana,18,1
3/6/20,Kentucky,21,1
3/6/20,Maryland,24,3
3/6/20,Massachusetts,25,8
3/6/20,Minnesota,27,1
3/6/20,Nebraska,31,14
3/6/20,Nevada,32,2
3/6/20,New Hampshire,33,2
3/6/20,New Jersey,34,4
3/6/20,New York,36,44
3/6/20,North Carolina,37,2
3/6/20,Oklahoma,40,1
3/6/20,Oregon,41,2
3/6/20,Pennsylvania,42,2
3/6/20,Rhode Island,44,3
3/6/20,South Carolina,45,2
3/6/20,Tennessee,47,1
3/6/20,Texas,48,19
3/6/20,Utah,49,3
3/6/20,Washington,53,86
3/6/20,Wisconsin,55,1
3/7/20,Arizona,4,5
3/7/20,California,6,100
3/7/20,Colorado,8,8
3/7/20,District of Columbia,11,1
3/7/20,Florida,12,12
3/7/20,Georgia,13,7
3/7/20,Hawaii,15,1
3/7/20,Illinois,17,6
3/7/20,Indiana,18,1
3/7/20,Kansas,20,1
3/7/20,Kentucky,21,1
3/7/20,Maryland,24,3
3/7/20,Massachusetts,25,13
3/7/20,Minnesota,27,1
3/7/20,Missouri,29,1
3/7/20,Nebraska,31,14
3/7/20,Nevada,32,2
3/7/20,New Hampshire,33,4
3/7/20,New Jersey,34,4
3/7/20,New York,36,89
3/7/20,North Carolina,37,2
3/7/20,Oklahoma,40,1
3/7/20,Oregon,41,6
3/7/20,Pennsylvania,42,4
3/7/20,Rhode Island,44,3
3/7/20,South Carolina,45,2
3/7/20,Tennessee,47,1
3/7/20,Texas,48,19
3/7/20,Utah,49,3
3/7/20,Vermont,50,1
3/7/20,Virginia,51,1
3/7/20,Washington,53,110
3/7/20,Wisconsin,55,1
3/8/20,Arizona,4,5
3/8/20,California,6,112
3/8/20,Colorado,8,8
3/8/20,Connecticut,9,1
3/8/20,District of Columbia,11,1
3/8/20,Florida,12,13
3/8/20,Georgia,13,11
3/8/20,Hawaii,15,2
3/8/20,Illinois,17,7
3/8/20,Indiana,18,2
3/8/20,Iowa,19,3
3/8/20,Kansas,20,1
3/8/20,Kentucky,21,4
3/8/20,Maryland,24,5
3/8/20,Massachusetts,25,28
3/8/20,Minnesota,27,2
3/8/20,Missouri,29,1
3/8/20,Nebraska,31,16
3/8/20,Nevada,32,4
3/8/20,New Hampshire,33,4
3/8/20,New Jersey,34,6
3/8/20,New York,36,106
3/8/20,North Carolina,37,2
3/8/20,Oklahoma,40,1
3/8/20,Oregon,41,13
3/8/20,Pennsylvania,42,6
3/8/20,Rhode Island,44,3
3/8/20,South Carolina,45,6
3/8/20,Tennessee,47,3
3/8/20,Texas,48,23
3/8/20,Utah,49,3
3/8/20,Vermont,50,1
3/8/20,Virginia,51,2
3/8/20,Washington,53,141
3/8/20,Wisconsin,55,1
3/9/20,Arizona,4,6
3/9/20,California,6,172
3/9/20,Colorado,8,12
3/9/20,Connecticut,9,2
3/9/20,District of Columbia,11,4
3/9/20,Florida,12,14
3/9/20,Georgia,13,17
3/9/20,Hawaii,15,2
3/9/20,Illinois,17,11
3/9/20,Indiana,18,4
3/9/20,Iowa,19,8
3/9/20,Kansas,20,1
3/9/20,Kentucky,21,5
3/9/20,Louisiana,22,1
3/9/20,Maryland,24,6
3/9/20,Massachusetts,25,41
3/9/20,Minnesota,27,2
3/9/20,Missouri,29,1
3/9/20,Nebraska,31,16
3/9/20,Nevada,32,4
3/9/20,New Hampshire,33,4
3/9/20,New Jersey,34,11
3/9/20,New York,36,142
3/9/20,North Carolina,37,7
3/9/20,Ohio,39,3
3/9/20,Oklahoma,40,1
3/9/20,Oregon,41,13
3/9/20,Pennsylvania,42,10
3/9/20,Rhode Island,44,3
3/9/20,South Carolina,45,7
3/9/20,Tennessee,47,4
3/9/20,Texas,48,24
3/9/20,Utah,49,3
3/9/20,Vermont,50,1
3/9/20,Virginia,51,5
